#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 449.000000 0.171960 2.908500 -1.979012
 450.000000 0.191803 2.836225 -1.542806
 451.000000 0.163592 3.076986 -3.021772
 452.000000 0.191944 2.913771 -1.260218
 453.000000 0.201943 2.978956 -2.083593
 454.000000 0.200237 2.890631 -1.634789
 455.000000 0.183210 2.980390 -1.783195
 456.000000 0.148019 2.976903 -1.523749
 457.000000 0.173463 3.049058 -1.086062
 458.000000 0.190302 3.003454 -1.586164
 459.000000 0.180432 2.901989 -1.814786
 460.000000 0.162208 2.935545 -1.581557
 461.000000 0.182303 2.924634 -1.820172
 462.000000 0.153171 2.880995 -1.848183
 463.000000 0.147548 3.055618 -1.531946
 464.000000 0.163981 3.033618 -1.992413
 465.000000 0.150449 2.938143 -1.583497
 466.000000 0.145825 3.066643 -2.647215
 467.000000 0.167420 2.922676 -1.758598
 468.000000 0.144496 2.959810 -2.137505
 469.000000 0.146767 3.069700 -1.857675
 470.000000 0.150150 3.087251 -2.106658
 471.000000 0.147136 3.096308 -2.501635
 472.000000 0.151775 2.933773 -1.669878
 473.000000 0.170454 3.027784 -2.208941
 474.000000 0.150572 3.108256 1.677731
 475.000000 0.144357 2.964382 -1.448602
 476.000000 0.147225 3.082858 -1.223230
 477.000000 0.154227 3.013025 -1.158094
 478.000000 0.152570 3.009889 -1.222163
 479.000000 0.148913 2.976028 -1.194416
 480.000000 0.155010 3.002359 -1.154859
 481.000000 0.162880 2.957554 -0.962209
 482.000000 0.155185 3.015425 -0.969170
 483.000000 0.148911 3.032935 -1.426305
 484.000000 0.141420 3.081151 -0.020906
 485.000000 0.151386 3.114958 2.923159
 486.000000 0.156990 3.096018 -2.499503
 487.000000 0.167038 3.023020 -2.333988
 488.000000 0.145726 3.073557 2.021331
 489.000000 0.190702 2.982727 -2.462202
 490.000000 0.208318 2.966814 -2.484545
 491.000000 0.192097 2.923709 -2.869281
 492.000000 0.187160 2.993962 -2.003034
 493.000000 0.211354 3.008178 -2.677942
 494.000000 0.193786 2.978177 -1.544561
 495.000000 0.217416 2.915026 -2.333984
 496.000000 0.212174 2.902278 -1.949837
 497.000000 0.223652 2.967467 -2.110228
 498.000000 0.231593 2.934116 -2.166120
 499.000000 0.223439 2.892385 -2.120269
 500.000000 0.230747 2.937454 -2.367482
 501.000000 0.238505 2.894501 -2.196356
 502.000000 0.230730 2.946159 -2.637270
 503.000000 0.186097 2.954341 -2.374051
 504.000000 0.207240 2.885659 -2.367200
 505.000000 0.236772 2.893578 -2.370346
 506.000000 0.220222 2.889791 -2.232730
 507.000000 0.223603 2.923375 -2.660872
 508.000000 0.217640 2.917020 -2.346487
 509.000000 0.225568 2.988813 -2.594380
 510.000000 0.215813 2.929204 -2.403896
 511.000000 0.199314 2.945897 -2.504678
 512.000000 0.207821 3.019442 -2.209512
 513.000000 0.188979 2.970843 -2.165436
 514.000000 0.167913 3.042001 -2.636532
 515.000000 0.183387 2.972073 -1.788107
 516.000000 0.170840 2.986894 -2.253127
 517.000000 0.138314 3.087991 1.617734
 518.000000 0.153564 3.104380 2.000353
 519.000000 0.139843 3.059346 -1.326692
 520.000000 0.132411 2.920306 2.271334
 521.000000 0.131064 2.992943 3.032206
