#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 252.000000 1.106635 0.922920 1.294288
 253.000000 1.173984 0.892842 1.309527
 254.000000 1.149347 0.872388 1.226898
 255.000000 1.229153 0.916310 1.247285
 256.000000 1.165767 0.906017 1.281714
 257.000000 1.165303 0.911580 1.241935
 258.000000 1.146130 0.951882 1.254215
 259.000000 1.182639 0.950712 1.248235
 260.000000 1.154802 0.961587 1.288518
 261.000000 1.169564 0.940878 1.233964
 262.000000 1.175146 0.870992 1.190102
 263.000000 1.194357 0.786535 1.279519
 264.000000 1.168639 0.807586 1.258391
 265.000000 1.220182 0.790852 1.258521
 266.000000 1.199335 0.867785 1.174102
 267.000000 1.126567 0.871353 1.214547
 268.000000 1.136631 0.862307 1.202684
 269.000000 1.194707 0.793634 1.292928
 270.000000 1.187544 0.857141 1.238430
 271.000000 1.146020 0.907970 1.276800
 272.000000 1.145536 0.910136 1.266044
 273.000000 1.108066 0.919503 1.268737
 274.000000 1.143419 0.879902 1.298889
 275.000000 1.085316 0.910092 1.264213
 276.000000 1.139157 0.922956 1.348755
 277.000000 1.054358 0.935206 1.293209
 278.000000 1.056358 1.000515 1.335242
 279.000000 1.052963 0.959202 1.274379
 280.000000 1.089081 0.909453 1.344518
 281.000000 1.082736 0.894208 1.329006
 282.000000 1.112606 0.885620 1.291260
 283.000000 1.152715 0.918656 1.271202
 284.000000 1.090073 0.927054 1.356377
 285.000000 1.125684 0.919029 1.293389
 286.000000 1.152664 0.874453 1.369010
 287.000000 1.131243 0.860634 1.368144
 288.000000 1.095695 0.853767 1.299139
 289.000000 1.139319 0.834246 1.338144
 290.000000 1.144017 0.852839 1.250316
 291.000000 1.091331 0.872211 1.280361
 292.000000 1.063693 0.881883 1.283839
 293.000000 1.094768 0.816083 1.351464
 294.000000 1.097773 0.889578 1.331291
 295.000000 1.047590 0.876681 1.340117
 296.000000 1.116817 0.869314 1.397159
 297.000000 1.103049 0.855758 1.407468
 298.000000 1.135988 0.834523 1.396324
 299.000000 1.077373 0.889078 1.325466
 300.000000 1.097954 0.886019 1.382748
 301.000000 1.071508 0.884125 1.314512
 302.000000 1.050005 0.857504 1.355170
 303.000000 1.093822 0.875082 1.416478
 304.000000 1.047224 0.908037 1.379160
 305.000000 1.090125 0.825456 1.412392
 306.000000 1.073322 0.824540 1.352575
 307.000000 1.124698 0.861743 1.347237
 308.000000 1.111660 0.833127 1.356654
 309.000000 1.059817 0.842645 1.445342
 310.000000 1.040101 0.926826 1.349834
 311.000000 1.080704 0.869438 1.404698
 312.000000 1.086807 0.856458 1.394734
 313.000000 1.142394 0.843085 1.370884
 314.000000 1.073349 0.777853 1.375803
 315.000000 1.141010 0.838378 1.364183
 316.000000 1.155825 0.846029 1.502155
 317.000000 1.188044 0.872821 1.373916
 318.000000 1.185088 0.839543 1.439814
 319.000000 1.137234 0.868172 1.399248
 320.000000 1.135423 0.925819 1.350994
 321.000000 1.117899 0.922398 1.396136
 322.000000 1.139749 0.928552 1.403601
 323.000000 1.165794 0.858393 1.421821
 324.000000 1.180350 0.856309 1.332972
 325.000000 1.164098 0.859351 1.399840
 326.000000 1.183580 0.865283 1.364022
 327.000000 1.168863 0.931191 1.413415
 328.000000 1.221228 0.931879 1.405059
 329.000000 1.171295 0.883698 1.471224
 330.000000 1.200001 0.869157 1.451380
 331.000000 1.186160 0.871061 1.467862
 332.000000 1.188491 0.850340 1.490686
 333.000000 1.207529 0.851035 1.542474
 334.000000 1.185194 0.799914 1.460643
 335.000000 1.142710 0.761384 1.462409
 336.000000 1.179868 0.751984 1.568243
 337.000000 1.180821 0.762885 1.617513
 338.000000 1.114292 0.712423 1.557505
 339.000000 1.196740 0.747435 1.524865
 340.000000 1.128164 0.781111 1.496930
 341.000000 1.143123 0.783227 1.450730
 342.000000 1.124591 0.794444 1.509807
 343.000000 1.098090 0.831985 1.568257
 344.000000 1.139075 0.831008 1.479271
 345.000000 1.171502 0.847224 1.487997
 346.000000 1.155548 0.793881 1.485028
 347.000000 1.126597 0.802095 1.507104
 348.000000 1.145818 0.840637 1.426263
 349.000000 1.157444 0.843072 1.500426
 350.000000 1.142364 0.922623 1.459867
 351.000000 1.092899 0.869302 1.440294
 352.000000 1.112511 0.903416 1.386626
 353.000000 1.120286 0.895667 1.501691
 354.000000 1.110486 0.802999 1.418314
 355.000000 1.081986 0.821687 1.480102
 356.000000 1.105934 0.839236 1.420439
 357.000000 1.048019 0.806892 1.468921
 358.000000 1.088475 0.803766 1.385025
 359.000000 1.017260 0.862143 1.450317
 360.000000 1.059815 0.776351 1.528959
 361.000000 1.106702 0.800031 1.510930
 362.000000 1.105338 0.821396 1.499618
 363.000000 1.100801 0.886955 1.597483
 364.000000 1.120948 0.850126 1.504039
 365.000000 1.087389 0.828413 1.397930
