#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 314.000000 0.083668 1.567652 -2.296305
 315.000000 0.077138 1.534082 -2.490844
 316.000000 0.087341 1.623254 -2.546977
 317.000000 0.101075 1.338674 -1.751046
 318.000000 0.123041 1.506265 -1.875990
 319.000000 0.123653 1.421284 -1.732332
 320.000000 0.115997 1.443306 -1.770450
 321.000000 0.132556 1.526544 -1.542461
 322.000000 0.131568 1.550950 -1.787631
 323.000000 0.102597 1.623836 -1.922095
 324.000000 0.119449 1.545658 -1.722984
 325.000000 0.106276 1.334454 -2.124203
 326.000000 0.099952 1.409260 -2.097868
 327.000000 0.112348 1.413688 -2.167047
 328.000000 0.109156 1.474578 -1.857377
 329.000000 0.122704 1.630381 -1.820444
 330.000000 0.124743 1.514751 -1.981525
 331.000000 0.128048 1.539322 -1.963320
 332.000000 0.139303 1.546273 -1.874065
 333.000000 0.132513 1.516269 -1.851107
 334.000000 0.131690 1.576399 -1.941368
 335.000000 0.103776 1.444031 -1.844941
 336.000000 0.094225 1.376187 -2.026061
 337.000000 0.102476 1.543983 -1.855434
 338.000000 0.087159 1.427463 -1.744318
 339.000000 0.088302 1.396374 -1.689639
 340.000000 0.117937 1.388140 -1.962923
 341.000000 0.111415 1.395441 -1.999560
 342.000000 0.125705 1.483292 -1.963431
 343.000000 0.108825 1.274057 -2.108127
 344.000000 0.108363 1.350904 -2.045156
 345.000000 0.128234 1.345565 -1.948067
 346.000000 0.102399 1.347789 -1.808900
 347.000000 0.113798 1.416650 -2.237510
 348.000000 0.097056 1.350842 -1.907238
 349.000000 0.089667 1.386032 -2.063441
 350.000000 0.109999 1.501658 -2.078581
 351.000000 0.085456 1.632463 -1.923483
 352.000000 0.078775 1.525440 -2.098582
 353.000000 0.080399 1.479259 -1.870881
 354.000000 0.089239 1.482359 -2.184263
 355.000000 0.088830 1.449162 -1.757420
 356.000000 0.076643 1.428290 -1.765440
 357.000000 0.095989 1.512555 -1.910739
 358.000000 0.082768 1.497191 -1.830058
 359.000000 0.122572 1.559412 -1.721794
 360.000000 0.106653 1.429446 -1.831674
 361.000000 0.133119 1.479507 -1.848116
 362.000000 0.112193 1.555900 -1.633329
 363.000000 0.104944 1.422715 -1.556152
 364.000000 0.109206 1.522512 -1.534702
 365.000000 0.119135 1.551891 -1.622977
 366.000000 0.125532 1.482572 -1.821123
 367.000000 0.146993 1.652931 -2.069367
 368.000000 0.157939 1.553104 -1.858691
 369.000000 0.157670 1.717743 -1.806475
 370.000000 0.142673 1.606512 -1.730365
 371.000000 0.151285 1.592850 -1.910076
 372.000000 0.167934 1.643852 -1.832507
 373.000000 0.149659 1.589778 -1.848166
 374.000000 0.131424 1.526580 -2.047420
 375.000000 0.153224 1.561862 -2.124194
 376.000000 0.138403 1.480814 -1.958042
 377.000000 0.119660 1.553668 -2.292507
 378.000000 0.165268 1.500502 -2.108777
 379.000000 0.168956 1.696854 -2.054591
 380.000000 0.146283 1.677798 -1.950137
 381.000000 0.118393 1.616931 -2.084972
 382.000000 0.149596 1.611745 -2.087868
 383.000000 0.146504 1.570455 -1.999232
 384.000000 0.139711 1.644737 -2.030028
 385.000000 0.170013 1.552651 -2.122421
 386.000000 0.175125 1.536782 -2.125300
 387.000000 0.179983 1.567115 -2.064137
 388.000000 0.163144 1.508668 -2.054021
 389.000000 0.161257 1.406592 -1.917439
