#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 295.000000 0.069376 0.642775 -1.432511
 296.000000 0.056434 1.063015 -1.814086
 297.000000 0.058012 0.756463 -1.955085
 298.000000 0.070619 0.841178 -1.842808
 299.000000 0.071052 0.736283 -1.241369
 300.000000 0.042440 0.588243 -1.755695
 301.000000 0.046995 0.854256 -1.978614
 302.000000 0.044778 1.372416 -0.911379
 303.000000 0.044315 0.703887 -0.969655
 304.000000 0.034974 0.607278 -0.816885
 305.000000 0.055390 1.409634 -1.408878
 306.000000 0.044289 0.835367 -1.536080
 307.000000 0.051281 1.198521 -1.521520
 308.000000 0.080782 1.238376 -1.546348
 309.000000 0.068396 1.176703 -1.517381
 310.000000 0.053573 0.767594 -1.859532
 311.000000 0.059609 0.210873 2.704756
 312.000000 0.037662 0.070772 2.295710
 313.000000 0.049550 0.105158 -2.755459
 314.000000 0.057672 0.155620 2.258926
 315.000000 0.058911 0.406647 -2.276959
 316.000000 0.054846 0.094941 2.109552
 317.000000 0.035138 0.234775 -1.102361
 318.000000 0.044748 0.775020 2.510603
 319.000000 0.044555 0.148944 -1.179056
 320.000000 0.047974 0.068147 -1.321214
 321.000000 0.043541 0.215829 -1.887665
 322.000000 0.036305 0.105153 -1.789350
 323.000000 0.060513 0.443970 -1.823270
 324.000000 0.059579 0.107184 -2.308782
 325.000000 0.030759 0.518639 -1.771594
 326.000000 0.042999 0.268273 -1.107550
 327.000000 0.052948 0.332307 -2.325493
 328.000000 0.045271 0.320368 -0.571201
 329.000000 0.041123 0.106609 -0.468055
 330.000000 0.053757 0.478167 -2.608987
 331.000000 0.038525 0.164370 -1.863111
 332.000000 0.041586 0.402847 -3.003641
 333.000000 0.034551 0.321471 -1.572400
 334.000000 0.047767 0.316140 -2.582460
 335.000000 0.054079 0.082057 -2.178169
 336.000000 0.052602 0.083459 2.833096
 337.000000 0.059425 0.101780 -1.777409
 338.000000 0.042790 0.244920 -1.979567
 339.000000 0.040992 0.065247 1.122173
 340.000000 0.060653 0.645654 -2.495377
 341.000000 0.055486 0.111599 -2.670530
 342.000000 0.052220 0.199454 2.216712
 343.000000 0.048613 0.100017 2.851316
 344.000000 0.046057 0.146806 -1.182617
 345.000000 0.056131 0.364335 3.108715
 346.000000 0.063712 0.258930 2.723972
 347.000000 0.041043 0.043300 1.858187
 348.000000 0.050215 0.238650 2.157042
 349.000000 0.046993 0.731583 -3.062178
 350.000000 0.038399 0.220708 -0.452921
 351.000000 0.067248 0.306310 3.114258
 352.000000 0.051765 0.113360 -0.587580
 353.000000 0.054431 0.059763 -0.068302
 354.000000 0.042405 0.498277 -2.274602
 355.000000 0.047975 0.255053 1.617550
 356.000000 0.043186 0.147396 -0.792380
 357.000000 0.041650 0.127149 2.364121
 358.000000 0.056537 0.196277 2.863120
 359.000000 0.056247 0.253855 -2.653624
 360.000000 0.048554 0.431714 -1.771617
 361.000000 0.058149 0.236435 -3.035221
 362.000000 0.056548 0.279282 -1.577725
 363.000000 0.055062 0.188490 -2.567134
 364.000000 0.040189 0.214336 0.122428
 365.000000 0.052187 0.204862 -0.835291
 366.000000 0.047418 0.151670 -1.742079
 367.000000 0.072903 0.195828 1.936396
 368.000000 0.056912 0.453052 -1.711882
 369.000000 0.057851 0.302806 -2.072801
 370.000000 0.038299 0.049046 2.046856
 371.000000 0.053778 0.347462 0.940550
 372.000000 0.050073 0.252661 -0.750155
