#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 546.000000 0.321226 2.129222 0.076046
 547.000000 0.299226 2.072283 0.088755
 548.000000 0.317565 2.170161 0.105070
 549.000000 0.297998 2.195757 0.126861
 550.000000 0.281596 2.193906 0.217666
 551.000000 0.270285 2.129347 0.197288
 552.000000 0.310469 2.054948 0.128146
 553.000000 0.316467 2.023239 0.062119
 554.000000 0.297327 2.180224 0.087936
 555.000000 0.309128 2.111488 0.172709
 556.000000 0.317391 2.174957 0.117648
 557.000000 0.297108 2.109332 0.052610
 558.000000 0.336445 2.198086 0.207120
 559.000000 0.358606 2.135947 0.180327
 560.000000 0.345909 2.162912 0.252442
 561.000000 0.299953 2.050554 0.095329
 562.000000 0.306027 2.059759 0.191803
 563.000000 0.330612 2.210306 0.208736
 564.000000 0.317249 2.128738 0.181856
 565.000000 0.331512 2.130586 0.273866
 566.000000 0.327729 2.211102 0.305855
 567.000000 0.336805 2.090489 0.425282
 568.000000 0.329959 2.018648 0.172552
 569.000000 0.303850 2.086644 0.216722
 570.000000 0.305539 2.118200 0.300949
 571.000000 0.339977 2.223601 0.192401
 572.000000 0.307945 1.992617 0.222890
 573.000000 0.322095 2.096237 0.257911
 574.000000 0.310589 2.136631 0.197727
 575.000000 0.324025 2.127682 0.185456
 576.000000 0.322692 2.168113 0.244229
 577.000000 0.328989 2.170408 0.376178
 578.000000 0.306655 2.086588 0.212982
 579.000000 0.299154 2.042979 0.276992
 580.000000 0.304305 2.204735 0.188578
 581.000000 0.298153 2.268345 0.207000
 582.000000 0.342742 2.269930 0.258375
 583.000000 0.311121 2.163730 0.284058
 584.000000 0.303725 2.133669 0.192936
 585.000000 0.301362 2.214271 0.225134
 586.000000 0.297633 2.141808 0.163648
 587.000000 0.282313 2.146727 0.157610
 588.000000 0.282572 2.117337 0.069111
 589.000000 0.318022 2.167869 0.163026
 590.000000 0.304204 2.228617 0.177981
 591.000000 0.315841 2.085648 0.140552
 592.000000 0.315568 2.174891 0.183376
 593.000000 0.316831 2.219946 0.158907
 594.000000 0.307239 2.154702 0.113648
 595.000000 0.297608 2.218492 0.283606
 596.000000 0.281926 2.355460 0.329827
 597.000000 0.260001 2.310810 0.159617
 598.000000 0.245113 2.343840 0.303371
 599.000000 0.319138 2.294114 0.167769
 600.000000 0.326617 2.370873 0.118610
 601.000000 0.306720 2.259390 0.274124
 602.000000 0.316939 2.223812 0.141760
 603.000000 0.304687 2.210095 0.296994
 604.000000 0.349579 2.281074 0.234165
 605.000000 0.362651 2.293462 0.260794
 606.000000 0.334512 2.237155 0.270654
 607.000000 0.331790 2.289013 0.317879
 608.000000 0.334644 2.265114 0.257899
 609.000000 0.329687 2.252494 0.272057
 610.000000 0.330583 2.368231 0.390125
 611.000000 0.336579 2.267131 0.143966
 612.000000 0.312296 2.339996 0.296394
 613.000000 0.299546 2.302493 0.208824
 614.000000 0.296667 2.203344 0.076612
 615.000000 0.303771 2.119172 0.136247
 616.000000 0.314000 2.170241 0.187359
 617.000000 0.329473 2.260389 0.216783
 618.000000 0.333862 2.329929 0.209327
 619.000000 0.292830 2.217235 0.047073
 620.000000 0.314543 2.245932 0.081977
 621.000000 0.310263 2.283354 0.201381
 622.000000 0.325832 2.280588 0.116717
 623.000000 0.345238 2.290514 0.236471
 624.000000 0.335890 2.264668 0.123538
 625.000000 0.303268 2.417305 0.174618
 626.000000 0.311259 2.296756 0.059671
 627.000000 0.311377 2.380264 0.174860
 628.000000 0.325959 2.276968 0.036727
 629.000000 0.313594 2.284206 0.177212
 630.000000 0.338686 2.203668 0.332458
 631.000000 0.298960 2.311319 0.148487
 632.000000 0.298640 2.314536 0.093621
 633.000000 0.314211 2.392252 0.267581
 634.000000 0.324172 2.366278 0.233721
 635.000000 0.321637 2.467214 0.148497
 636.000000 0.314460 2.382590 0.230188
 637.000000 0.314219 2.091081 0.137400
 638.000000 0.331618 2.160723 0.068262
 639.000000 0.311134 2.304117 0.087728
 640.000000 0.319790 2.307009 0.200795
 641.000000 0.297809 2.283562 0.090987
 642.000000 0.314456 2.315068 0.079970
 643.000000 0.334905 2.267032 0.076450
 644.000000 0.330717 2.197217 0.072078
 645.000000 0.325353 2.276722 0.108207
 646.000000 0.323401 2.338600 0.136041
 647.000000 0.348013 2.286704 0.157906
 648.000000 0.301309 2.142345 0.109361
 649.000000 0.338667 2.324048 0.203382
 650.000000 0.344193 2.210868 0.138605
 651.000000 0.325872 2.402248 0.178780
